Name,Sex,BodyWeight,WeightCategory,Bench,Squat,Deadlift,Total
Kennedi Kullman,F,96,97,115,255,260,630
Camille Crutcher,F,95,97,125,230,255,610
Katelyn Reed,F,94,97,115,245,245,605
Allison Rozas,F,89,97,105,185,200,490
Isabelle Bolde,F,95,97,80,190,200,470
Katie Costello,F,105,105,150,265,275,690
Caroline Joslin,F,104,105,150,255,280,685
Ella Reppel,F,102,105,145,270,255,670
Sidnei Grant,F,102,105,155,255,250,660
Krystel Amo,F,104,105,100,245,300,645
Matthew Sanders,M,113,114,190,375,420,985
Hunter Wright,M,113,114,210,370,385,965
Brock Harvey,M,113,114,195,340,395,930
Jacob Gaskin,M,113,114,215,355,360,930
Eddie Palmer,M,110,114,165,365,330,860
Jadyn Barner,F,112,114,145,300,325,770
Alyssa Blazier,F,113,114,160,280,300,740
Ella Young,F,111,114,155,265,290,710
Ryleigh McCoy,F,110,114,130,280,280,690
Victoria Bernard,F,113,114,125,280,270,675
JT Sylvera,M,123,123,235,430,520,1185
Anderson Le,M,120,123,245,450,405,1100
Derrian Milligan,M,120,123,200,415,435,1050
Alex Folmar,M,122,123,285,350,410,1045
Caiden Allen,M,121,123,250,385,405,1040
Mckinzley Thomason,F,118,123,190,345,335,870
Lila Cooper,F,123,123,180,315,315,810
Emma Deouch,F,122,123,115,295,290,700
Alyssa Martino,F,117,123,145,265,265,675
Scarlett Revels,F,120,123,140,255,275,670
Joshua Thompson,M,129,132,225,480,470,1175
Luke Rachal,M,131,132,215,430,460,1105
Christian Frazier,M,130,132,205,405,470,1080
Bryce Toups,M,132,132,270,380,370,1020
Braden Fontenot,M,129,132,185,350,440,975
Eva Polini,F,130,132,200,390,335,925
Alora Walker,F,129,132,170,370,355,895
Margeret Bordelon,F,128,132,130,345,335,810
Cydney Tucker,F,127,132,165,265,350,780
Justice Robinson,F,130,132,130,285,345,760
Nathan Lovemore,M,147,148,355,565,580,1500
Caleb Wilkinson,M,148,148,300,465,585,1350
Brett Falco,M,145,148,290,480,470,1240
Tyson Jefferson,M,147,148,255,485,485,1225
Rafael Gascot,M,148,148,300,440,475,1215
Isabella Rachal,F,146,148,170,365,365,900
Cali Cefalu,F,147,148,185,370,325,880
Sara Reffit,F,142,148,160,300,330,790
Alana Bailey,F,148,148,165,325,295,785
Natalee Deshotel,F,137,148,150,260,280,690
Eric Arbour,M,160,165,275,535,580,1390
Aidan Calkins,M,157,165,285,570,515,1370
Josh Chou,M,159,165,375,500,480,1355
Jackson Bice,M,163,165,325,505,520,1350
Paxton Yodanza,M,155,165,290,510,515,1315
Aniyah Dorn,F,163,165,180,375,375,930
Kaylee Robin,F,158,165,285,330,310,925
Amy Kirk,F,162,165,170,330,375,875
Makayla Wilson,F,163,165,175,370,330,875
Demi Doucet,F,156,165,150,325,360,835
Dylan Albert,M,178,181,310,600,600,1510
Tyree Williams,M,166,181,300,580,600,1480
Jeremiah Morgan,M,175,181,315,565,600,1480
Daniel Juneau,M,179,181,315,545,530,1390
Hayes Turner,M,178,181,275,505,555,1335
Bailey Fields,F,174,181,220,380,345,945
Addyson Caskey,F,179,181,200,370,350,920
Makayla Dangerfield,F,166,181,155,345,355,855
Apple Farria,F,178,181,160,315,380,855
Emma Carona,F,179,181,165,335,340,840
